flight_number,departure/arrival_airport,departure/arrival_airport,flight_status,city_name,airport_code,departure/arrival_time_local,terminal,aircraft_model,airline_name,type,scheduled_datetime_flight,actual_datetime_flight
SV 1031,Riyadh King Khaled,RUH,Unknown,Jeddah,JED,2024-08-24 12:00+03:00,5,Boeing 777-300,Saudi Arabian,Departure,2024-08-24 12:00+03:00,
XY 267,,RUH,Unknown,Cairo,CAI,2024-08-24 12:00+03:00,3,Airbus A320 NEO,flynas,Departure,,
F3 607,,RUH,Unknown,Cairo,CAI,2024-08-24 12:00+03:00,3,Airbus A320,flyadeal,Departure,,
XY 267,Riyadh King Khaled,RUH,Unknown,Cairo,CAI,2024-08-24 12:00+03:00,3,Airbus A320 NEO,flynas,Departure,2024-08-24 12:00+03:00,
F3 607,,RUH,Unknown,Cairo,CAI,2024-08-24 12:00+03:00,3,Airbus A320,flyadeal,Departure,,
F3 75,Riyadh King Khaled,RUH,Unknown,Neyran,EAM,2024-08-24 12:05+03:00,5,Airbus A320,flyadeal,Departure,2024-08-24 12:05+03:00,
SV 633,,RUH,Unknown,Amman,AMM,2024-08-24 12:05+03:00,4,Airbus A320,Saudi Arabian,Departure,,
GF 164,Riyadh King Khaled,RUH,Unknown,Manama,BAH,2024-08-24 12:05+03:00,2,Airbus A320,Gulf Air,Departure,2024-08-24 12:05+03:00,
F3 53,,RUH,Unknown,Taif,TIF,2024-08-24 12:10+03:00,5,Airbus A320,flyadeal,Departure,,
XY 205,Riyadh King Khaled,RUH,Departed,Dubai,DXB,2024-08-24 12:20+03:00,3,Airbus A320 NEO,flynas,Departure,2024-08-24 12:20+03:00,
KU 774,,RUH,Unknown,Kuwait City,KWI,2024-08-24 12:25+03:00,2,Airbus A320,Kuwait Airways,Departure,,
SV 540,,RUH,Departed,Doha,DOH,2024-08-24 12:30+03:00,4,Airbus A321,Saudi Arabian,Departure,,
A3 953,Riyadh King Khaled,RUH,Departed,Athens,ATH,2024-08-24 12:30+03:00,1,Airbus A320 NEO,Aegean,Departure,2024-08-24 12:30+03:00,
