flight_number,airport_code,departure_arrival_time_local,terminal,aircraft_model,airline_name,type,scheduled_datetime_flight,flight_status,gate_status,GateNumber
SV 1673,AHB,2024-08-25T19:25:00.0000000+03:00,5,Airbus A320,Saudi Arabian,Departure,2024-08-25T16:25:00.0000000+00:00,Unknown,Closed,105A
XY 265,CAI,2024-08-25T19:40:00.0000000+03:00,3,Airbus A320 NEO,flynas,Departure,2024-08-25T16:40:00.0000000+00:00,Unknown,Closed,102A
F3 143,JED,2024-08-25T19:45:00.0000000+03:00,5,Airbus A320,flyadeal,Departure,2024-08-25T16:45:00.0000000+00:00,Unknown,Closed,108A
SV 3434,HBE,2024-08-25T08:05:00.0000000+03:00,4,Airbus A321,Saudi Arabian,Arrival,2024-08-25T02:00:00.0000000+00:00,Unknown,Closed,102A
SV 1133,DMM,2024-08-25T08:15:00.0000000+03:00,5,Airbus A320,Saudi Arabian,Arrival,2024-08-25T04:00:00.0000000+00:00,Unknown,Closed,108A
G9 151,SHJ,2024-08-25T08:20:00.0000000+03:00,2,Airbus A320 (Sharklets),Air Arabia,Arrival,2024-08-25T03:35:00.0000000+00:00,Unknown,Closed,106A
SV 1020,JED,2024-08-25T08:50:00.0000000+03:00,5,Airbus A321,Saudi Arabian,Arrival,2024-08-25T04:00:00.0000000+00:00,Unknown,Closed,105A
SV 276,IST,2024-08-25T08:55:00.0000000+03:00,4,Airbus A330,Saudi Arabian,Arrival,2024-08-25T01:30:00.0000000+00:00,Expected,Closed,103A
SV 1394,AJF,2024-08-25T09:00:00.0000000+03:00,5,Airbus A320,Saudi Arabian,Arrival,2024-08-25T04:20:00.0000000+00:00,Unknown,Closed,107A
SV 1902,TIF,2024-08-25T09:10:00.0000000+03:00,5,Airbus A321,Saudi Arabian,Arrival,2024-08-25T04:35:00.0000000+00:00,Unknown,Closed,107A
F3 102,JED,2024-08-25T09:10:00.0000000+03:00,5,Airbus A320,flyadeal,Arrival,2024-08-25T04:30:00.0000000+00:00,Unknown,Closed,109A
XY 84,AHB,2024-08-25T09:20:00.0000000+03:00,5,Airbus A320 NEO,flynas,Arrival,2024-08-25T04:45:00.0000000+00:00,Unknown,Closed,108A
PK 765,MUX,2024-08-25T09:30:00.0000000+03:00,2,Boeing 777-300,Pakistan International,Arrival,2024-08-25T02:55:00.0000000+00:00,Unknown,Closed,105A
SV 1022,JED,2024-08-25T09:50:00.0000000+03:00,5,Airbus A321,Saudi Arabian,Arrival,2024-08-25T05:00:00.0000000+00:00,Unknown,Closed,107A
F3 104,JED,2024-08-25T10:10:00.0000000+03:00,5,Airbus A320,flyadeal,Arrival,2024-08-25T05:30:00.0000000+00:00,Unknown,Closed,109A
SV 1139,DMM,2024-08-25T10:15:00.0000000+03:00,5,Airbus A321,Saudi Arabian,Arrival,2024-08-25T06:00:00.0000000+00:00,Unknown,Closed,101A
XY 82,AHB,2024-08-25T10:30:00.0000000+03:00,5,Airbus A320 NEO,flynas,Arrival,2024-08-25T05:55:00.0000000+00:00,Unknown,Closed,106A
SV 1885,SHW,2024-08-25T10:35:00.0000000+03:00,5,Airbus A320,Saudi Arabian,Arrival,2024-08-25T05:50:00.0000000+00:00,Unknown,Closed,108A
SV 1664,AHB,2024-08-25T10:40:00.0000000+03:00,5,Airbus A330,Saudi Arabian,Arrival,2024-08-25T05:50:00.0000000+00:00,Unknown,Closed,107A
SV 1458,MED,2024-08-25T10:50:00.0000000+03:00,5,Airbus A320,Saudi Arabian,Arrival,2024-08-25T06:15:00.0000000+00:00,Expected,Closed,103A
GF 163,BAH,2024-08-25T10:55:00.0000000+03:00,2,Boeing 787-9,Gulf Air,Arrival,2024-08-25T06:40:00.0000000+00:00,Unknown,Closed,102A
