flight_number,airport_code,departure/arrival_time_local,terminal,aircraft_model,airline_name,type,scheduled_datetime_flight,flight_status,gate_status
IX 995,HYD,2024-08-14 13:40+03:00,2.0,Boeing 737,Air India Express,Arrival,2024-08-14 04:55:00+00:00,Unknown,Closed
SM 461,CAI,2024-08-14 13:45+03:00,2.0,Airbus A320,Air Cairo,Arrival,2024-08-14 08:56:00+00:00,Expected,Closed
XY 140,ABT,2024-08-14 13:50+03:00,5.0,Airbus A320 NEO,flynas,Arrival,2024-08-14 09:20:00+00:00,Unknown,Closed
SV 1534,TUU,2024-08-14 13:50+03:00,5.0,Airbus A320,Saudi Arabian,Arrival,2024-08-14 08:45:00+00:00,Unknown,Closed
SV 1030,JED,2024-08-14 13:50+03:00,5.0,Boeing 777-300,Saudi Arabian,Arrival,2024-08-14 09:00:00+00:00,Unknown,Closed
F3 226,MED,2024-08-14 13:50+03:00,5.0,Airbus A320,flyadeal,Arrival,2024-08-14 09:20:00+00:00,Expected,Closed
XY 220,DXB,2024-08-14 14:05+03:00,3.0,Airbus A320 NEO,flynas,Arrival,2024-08-14 09:10:00+00:00,Unknown,Closed
XY 324,GYD,2024-08-14 14:20+03:00,3.0,Airbus A320 NEO,flynas,Arrival,2024-08-14 08:30:00+00:00,Unknown,Closed
E5 337,HBE,2024-08-14 14:20+03:00,2.0,Airbus A320,Air Arabia Egypt,Arrival,2024-08-14 08:30:00+00:00,Unknown,Closed
SV 597,DXB,2024-08-14 14:30+03:00,4.0,Airbus A321,Saudi Arabian,Arrival,2024-08-14 09:30:00+00:00,Unknown,Closed
SV 1510,TUI,2024-08-14 14:35+03:00,5.0,Airbus A320,Saudi Arabian,Arrival,2024-08-14 09:40:00+00:00,Unknown,Closed
SV 709,KHI,2024-08-14 14:45+03:00,4.0,Airbus A330,Saudi Arabian,Arrival,2024-08-14 08:30:00+00:00,Unknown,Closed
XY 332,BUS,2024-08-14 14:55+03:00,3.0,Airbus A320 NEO,flynas,Arrival,2024-08-14 08:35:00+00:00,Expected,Closed
MS 689,CAI,2024-08-14 15:00+03:00,2.0,Boeing 737-800,EgyptAir,Arrival,2024-08-14 09:35:00+00:00,Unknown,Closed
XY 390,BJV,2024-08-14 15:05+03:00,3.0,Airbus A320 NEO,flynas,Arrival,2024-08-14 08:15:00+00:00,Expected,Closed
EY 317,AUH,2024-08-14 15:15+03:00,3.0,Airbus A320,Etihad Airways,Arrival,2024-08-14 10:15:00+00:00,Unknown,Closed
XY 136,EAM,2024-08-14 15:20+03:00,5.0,Airbus A320 NEO,flynas,Arrival,2024-08-14 10:50:00+00:00,Unknown,Closed
SV 1864,EAM,2024-08-14 15:25+03:00,5.0,Airbus A321,Saudi Arabian,Arrival,2024-08-14 10:35:00+00:00,Unknown,Closed
XY 274,CAI,2024-08-14 15:40+03:00,3.0,Airbus A320 NEO,flynas,Arrival,2024-08-14 09:55:00+00:00,Expected,Closed
J9 225,KWI,2024-08-14 15:45+03:00,2.0,Airbus A320,Jazeera Airways,Arrival,2024-08-14 11:30:00+00:00,Unknown,Closed
SV 1524,TUU,2024-08-14 16:00+03:00,5.0,Airbus A320,Saudi Arabian,Arrival,2024-08-14 10:55:00+00:00,Unknown,Closed
F3 606,CAI,2024-08-14 16:00+03:00,3.0,Airbus A320,flyadeal,Arrival,2024-08-14 10:10:00+00:00,Unknown,Closed
G9 154,SHJ,2024-08-14 16:00+03:00,1.0,Airbus A321,Air Arabia,Arrival,2024-08-14 11:15:00+00:00,Unknown,Closed
XY 36,JED,2024-08-14 16:00+03:00,5.0,Airbus A320 NEO,flynas,Arrival,2024-08-14 11:10:00+00:00,Unknown,Closed
SV 1173,DMM,2024-08-14 16:15+03:00,5.0,Airbus A320,Saudi Arabian,Arrival,2024-08-14 12:00:00+00:00,Unknown,Closed
F3 580,TZX,2024-08-14 16:15+03:00,3.0,Airbus A320,flyadeal,Arrival,2024-08-14 09:40:00+00:00,Unknown,Closed
SV 541,DOH,2024-08-14 16:35+03:00,4.0,Airbus A320,Saudi Arabian,Arrival,2024-08-14 12:00:00+00:00,Unknown,Closed
